model,risk_decile,observed_withdrawal_rate_pct
CatBoost 124,1,0.022346119037776113
CatBoost 124,2,0.05921787709497207
CatBoost 124,3,0.08379794639166044
CatBoost 124,4,0.13631284916201117
CatBoost 124,5,0.20893621300320667
CatBoost 124,6,0.3016759776536313
CatBoost 124,7,0.524022346368715
CatBoost 124,8,0.8156333448788281
CatBoost 124,9,1.4078212290502794
CatBoost 124,10,3.8949285482843763
CatBoost 108,1,0.02122881308588731
CatBoost 108,2,0.05810055865921788
CatBoost 108,3,0.08603255829543804
CatBoost 108,4,0.1340782122905028
CatBoost 108,5,0.20446698919565146
CatBoost 108,6,0.31731843575418994
CatBoost 108,7,0.5094972067039105
CatBoost 108,8,0.8133987329750505
CatBoost 108,9,1.4212290502793294
CatBoost 108,10,3.8893420185249328
GRU 4-week,1,0.1374286320823231
GRU 4-week,2,0.24134078212290502
GRU 4-week,3,0.27373995821275743
GRU 4-week,4,0.3474860335195531
GRU 4-week,5,0.49831845454240736
GRU 4-week,6,0.5441340782122905
GRU 4-week,7,0.7597765363128492
GRU 4-week,8,0.9620004245762617
GRU 4-week,9,1.2972067039106145
GRU 4-week,10,2.3932693489458217
TCN 4-week,1,0.14748438564932237
TCN 4-week,2,0.2324022346368715
TCN 4-week,3,0.27373995821275743
TCN 4-week,4,0.3463687150837989
TCN 4-week,5,0.4569781343225215
TCN 4-week,6,0.5720670391061453
TCN 4-week,7,0.7698324022346369
TCN 4-week,8,0.9776427079027049
TCN 4-week,9,1.28268156424581
TCN 4-week,10,2.3955039608495996
